Номер<br>ABCnet;Номер Заказа<br>(Дилер);Номер формы выхода;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Номер VIN;Версия;Дата заказа;Тип Тек. Рез.;Статус;Пользователь, создавший заказ;Пользователь, зарезервивавший заказ;Дата резервации до;Номер SIV;Отделка Салона;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Дата Продажи;Сумма Счета;Номер Заказа Финального Клиента;Дилер;Номер Счета/Накл.;Местонахождение;Идентификационный Номер Покупателя;Тип Оплаты;Ожид.дата доставки;Место доставки;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Год выпуска;Топливо;Комментарии;Subsidiary identification;Last Central DM Action;Dealer estimated delivery date;
664026;9001;413806;Боксер;FgTI 440 L4H2(120hp) / NN Mg;FRG. EMP.RALLON H2 2;WPP0-BLANC BANQUISE;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YEBMFC12127085;2PU97MHDG6099X;28/09/2011 09:49:09;SO (fixed);Заказ принят;;;;RC181534;VMFZ-GRIS 4;HC08 - HC08;FX01 - FX01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;СКЛАД ПСР;;;In Stock;3710-ООО "Леонар Авто";;SO (fixed);;2012;01;;;;;
603972;9003;403138;4007 MP;4007 SKD Active 2.4 4X4 CVT/1PMPSUMRMH00BK22;*;H9P0-BLANC ANTARCTIQUE;2.4L MMC (  02);4 X 4 TRANSMSS CONTI;;1PMPSUMRMH009R;05/12/2011 11:11:47;SO Cancelled;Заказ отменен;;;;;XAFX-NOIR;UB01 - Парктроник задний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;;;;;3710-ООО "Леонар Авто";05/12/11 11:16<br /> - <i>MODIFIED BY PCR</i><br />05/01/12 06:30<br /> - <i>MODIFIED BY PCR</i><br />06/01/12 10:15<br /> - <i>MODIFIED BY PCR</i><br />06/01/12 10:15<br /> - <i>MODIFIED BY PCR</i><br />10/01/12 11:19<br /> - <i>MODIFIED BY PCR</i><br />10/01/12 11:19<br /> - <i>MODIFIED BY PCR</i>;SO Cancelled;SO (fixed);2012;02;;;;;
50011456;00455073;402768;3008 TB;3008 ACTIVE MT5 120hp / 1PTBSYHCA532A0D0;CROSS OVER 5 PORTES;WPP0-BLANC BANQUISE;EP6C 1598 4 CE INDIR (  02);MANUAL 5-SPEED;VF30U5FS0CS040805;1PTBSYHCA5329R;02/12/2011 06:56:27;SO (fixed);Заказ принят;D737659;D737659;;RC191305;9ZFX-NOIR;OK01 - Панорамная крыша Cielo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;В пути в Россию;;BPF Payment Mode;24/02/2012;3710-ООО "Леонар Авто";02/12/11 15:02<br /> - <i>YES</i><br />05/12/11 16:36<br /> - <i>MODIFIED BY PCR</i><br />05/12/11 16:36<br /> - <i>MODIFIED BY PCR</i><br />06/12/11 04:33<br /> - <i>MODIFIED BY PCR</i><br />06/12/11 04:33<br /> - <i>MODIFIED BY PCR</i><br />01/02/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />01/02/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />01/02/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />01/02/12 06:01<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;02;;;;;
50011596;00455163;403235;Партнер B9;Partner B9  FRG court 16E 90 hp / 2PB9J0CFJ532A015;FOURGON;WPP0-BLANC BANQUISE;TU5JP4B   1587   ESS (  02);MANUAL 5-SPEED;VF37KNFRCCJ534225;2PB9J0CFJ5329S;05/12/2011 06:56:24;SO (fixed);Заказ принят;D737653;D737653;;RC191515;YMFZ-GRIS 4;CZ11 - CZ11;GB23 - GB23;LK07 - LK07;NA01 - Передние сиденья с подогревом;PX06 - PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Произведен;;BPF Payment Mode;09/03/2012;3710-ООО "Леонар Авто";05/12/11 13:15<br /> - <i>YES</i><br />06/12/11 11:16<br /> - <i>MODIFIED BY PCR</i><br />06/12/11 11:16<br /> - <i>MODIFIED BY PCR</i><br />07/12/11 04:47<br /> - <i>MODIFIED BY PCR</i><br />07/12/11 04:47<br /> - <i>MODIFIED BY PCR</i><br />01/02/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />01/02/12 06:01<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;02;;;;;
50005369;00447284;390113;308 T7;308 SKD MV 5D All 1.6 MT5 (120 hp) / 1PT7A5QCA532BKD1;Hatchback 5 Doors;P9M5-ROUGE BABYLONE;EP6C 1598 4 CE INDIR (  02);MANUAL 5-SPEED;Z8T4C5FS0BM017489;1PT7A5QCA532Z1;07/10/2011 19:03:48;Final Customer Order;Продан клиенту;D737659;D737660;;RC185261;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31/01/2012;;;RU3710R;F-00382956;Продан клиенту;RU3710R_7509572575;BPF Payment Mode;23/12/2011;3710-ООО "Леонар Авто";07/10/11 13:16<br /> - <i>YES</i><br />08/10/11 04:24<br /> - <i>MODIFIED BY PCR</i><br />08/10/11 04:24<br /> - <i>MODIFIED BY PCR</i><br />13/10/11 06:18<br /> - <i>MODIFIED BY PCR</i><br />25/11/11 06:01<br /> - <i>MODIFIED BY PCR</i><br />25/11/11 06:01<br /> - <i>MODIFIED BY PCR</i><br />19/12/11 10:15<br /> - <i>MODIFIED BY PCR</i><br />19/12/11 10:15<br /> - <i>MODIFIED BY PCR</i><br />20/12/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />20/12/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />22/12/11 14:26<br /> - <i>MODIFIED BY PCR</i><br />22/12/11 14:26<br /> - <i>MODIFIED BY PCR</i><br />30/01/12 18:00<br /> - <i>YES</i><br />31/01/12 19:00<br /> - <i>YES</i>;Final Customer Order;SO (fixed);2011;02;;;;In Dealership;
535395;00429301;372900;Боксер;FgTI 330 L1H1(100hp) / 2PU91DHDE509A080;FRG. EMP.COURT H1 12;4PP0-BLEU IMPERIAL;2188 HDI P.22DTE (  01);MANUAL 5-SPEED;VF3YAAMFA12049368;2PU91DHDE5099S;28/06/2011 19:03:48;Final Customer Order;Продан клиенту;;D746548;;RC169858;RYFJ-ROUGE;JO01 - JO01;RK04 - RK04;FX01 - FX01;PE03 - PE03;PX05 - PX05;;;;;;;;;;;;;;;;;;;;;;;;;;31/01/2012;;;RU3710R;F-00377503;Продан клиенту;RU3710R_7505848664;;19/08/2011;3710-ООО "Леонар Авто";24/11/11 14:25<br /> - <i>MODIFIED BY PCR</i><br />24/11/11 14:25<br /> - <i>MODIFIED BY PCR</i><br />31/01/12 12:15<br /> - <i>YES</i><br />31/01/12 19:00<br /> - <i>YES</i>;Final Customer Order;SO (fixed);2011;01;;;;In Dealership;
600982;9001;402820;Боксер;FgTI 440 L4H2(120hp)/Line22_base;FRG. EMP.RALLON H2 2;WPP0-BLANC BANQUISE;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YEBMFC12084872;2PU97MHDG6099V;11/07/2011 15:48:45;Final Customer Order;Продан клиенту;;D746548;;RC174934;VMFZ-GRIS 4;FX01 - FX01;HC08 - HC08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31/01/2012;;;RU3710R;F-00382362;Продан клиенту;RU3710R_7508378659;;28/10/2011;3710-ООО "Леонар Авто";20/12/11 14:25<br /> - <i>MODIFIED BY PCR</i><br />20/12/11 14:25<br /> - <i>MODIFIED BY PCR</i><br />20/12/11 14:25<br /> - <i>MODIFIED BY PCR</i><br />31/01/12 13:15<br /> - <i>YES</i><br />31/01/12 15:45<br /> - <i>YES</i>;Final Customer Order;SO (fixed);2011;01;;;;In Dealership;
50007541;00450355;396609;Партнер B9;Partner B9  VP2 ACTIVE 90 hp / 1PB9AFGFJ532A015;Minivan;ZWM0-GRIS FER;TU5JP4B   1587   ESS (  02);MANUAL 5-SPEED;VF37JNFRCBJ834277;1PB9AFGFJ5329S;01/11/2011 15:04:25;Final Customer Order;Продан клиенту;D737659;D737659;;RC187334;YNFM-AMARANTE;PQ02 - PQ02;RE01 - Кондиционер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31/01/2012;;;RU3710R;F-00388030;Продан клиенту;3710_7505720692;BPF Payment Mode;20/01/2012;3710-ООО "Леонар Авто";01/11/11 10:15<br /> - <i>YES</i><br />02/11/11 15:43<br /> - <i>MODIFIED BY PCR</i><br />02/11/11 15:43<br /> - <i>MODIFIED BY PCR</i><br />04/11/11 04:19<br /> - <i>MODIFIED BY PCR</i><br />04/11/11 04:19<br /> - <i>MODIFIED BY PCR</i><br />13/12/11 06:01<br /> - <i>MODIFIED BY PCR</i><br />13/12/11 06:01<br /> - <i>MODIFIED BY PCR</i><br />03/01/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />03/01/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />23/01/12 11:00<br /> - <i>YES</i><br />24/01/12 08:00<br /> - <i>MODIFIED BY PCR</i><br />24/01/12 08:00<br /> - <i>MODIFIED BY PCR</i><br />27/01/12 14:13<br /> - <i>MODIFIED BY PCR</i><br />27/01/12 14:13<br /> - <i>MODIFIED BY PCR</i><br />31/01/12 15:01<br /> - <i>YES</i>;Final Customer Order;SO (fixed);2011;02;;;;In Dealership;
534202;9002;371270;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;9HM0-GRIS THORIUM;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM007956;1PT7A5NCAL32Z0;05/05/2011 15:04:23;Final Customer Order;Продан клиенту;;D746547;;RC162589;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31/01/2012;;;RU3710R;F-00357732;Продан клиенту;RU3710R_7501478546;Bank Guarantee (BG);15/07/2011;3710-ООО "Леонар Авто";31/01/12 13:30<br /> - <i>YES</i><br />31/01/12 15:01<br /> - <i>YES</i>;Final Customer Order;SO (fixed);2011;02;;;;In Dealership;
664024;00452451;413803;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A080;FRG. EMP.LONG H2 16;WPP0-BLANC BANQUISE;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YCBMFC12148528;2PU95KHDG6099T;22/11/2011 14:20:33;SO (fixed);Продан дилеру;;;;RC189032;RYFJ-ROUGE;JO01 - JO01;RK04 - RK04;FX01 - FX01;PE03 - PE03;PX05 - PX05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00388744;Отгрузка в ДЦ;;;10/02/2012;3710-ООО "Леонар Авто";31/01/12 14:16<br /> - <i>MODIFIED BY PCR</i><br />31/01/12 14:16<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);;2012;01;;;;In Dealership;
