Номер<br>ABCnet;Номер Заказа<br>(Дилер);Номер формы выхода;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Номер VIN;Версия;Дата заказа;Тип Тек. Рез.;Статус;Пользователь, создавший заказ;Пользователь, зарезервивавший заказ;Дата резервации до;Номер SIV;Отделка Салона;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Дата Продажи;Сумма Счета;Номер Заказа Финального Клиента;Дилер;Номер Счета/Накл.;Местонахождение;Идентификационный Номер Покупателя;Тип Оплаты;Ожид.дата доставки;Место доставки;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Год выпуска;Топливо;Комментарии;Subsidiary identification;Last Central DM Action;Dealer estimated delivery date;
538704;9002;376842;308 T7;308 SKD MV SPORTIUM 1.6 MT (120 hp)/1PT7A5NCA532JUD0;Hatchback 5 Doors;9VM0-NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  02);MANUAL 5-SPEED;Z8T4C5FS0BM011950;1PT7A5NCA5329S;07/07/2011 12:01:43;Final Customer Order;Продан клиенту;;D737660;;RC171910;XWFJ-ROUGE;UF01 - UF01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/10/2011;;;RU3710R;F-00366704;Продан клиенту;RU3710R_7501295205;;30/09/2011;3710-ООО "Леонар Авто";27/09/11 13:52<br /> - <i>MODIFIED BY PCR</i><br />27/09/11 13:52<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 15:13<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 15:13<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 15:13<br /> - <i>MODIFIED BY PCR</i><br />16/10/11 09:45<br /> - <i>YES</i><br />16/10/11 12:00<br /> - <i>YES</i>;Final Customer Order;SO (fixed);2011;02;;;;In Dealership;
50003508;9002;388193;308 T7;308 SKD MV SPORTIUM 1.6 AT (120 hp)/1PT7A5NCAL32JUD0;Hatchback 5 Doors;T4M0-BOURRASQUE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM010992;1PT7A5NCAL329S;08/06/2011 10:02:16;Final Customer Order;Продан дилеру;D737659;D737659;;RC167167;XWFJ-ROUGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00368280;Продан дилеру;3710_3905019765;BPF Payment Mode;16/09/2011;3710-ООО "Леонар Авто";06/10/11 15:01<br /> - <i>YES</i><br />06/10/11 15:03<br /> - <i>YES</i><br />06/10/11 16:48<br /> - <i>MODIFIED BY PCR</i><br />06/10/11 16:48<br /> - <i>MODIFIED BY PCR</i><br />06/10/11 16:48<br /> - <i>MODIFIED BY PCR</i>;Final Customer Order;;2011;02;;;;In Dealership;
538711;9002;376849;308 T7;308 SKD MV SPORTIUM 1.6 AT (120 hp)/1PT7A5NCAL32JUD0;Hatchback 5 Doors;9HM0-GRIS THORIUM;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM012325;1PT7A5NCAL329S;07/07/2011 10:02:15;SO (fixed);Продан дилеру;;;;RC172335;XWFJ-ROUGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00367835;Продан дилеру;;;07/10/2011;3710-ООО "Леонар Авто";14/09/11 06:26<br /> - <i>MODIFIED BY PCR</i><br />14/09/11 06:26<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 10:00<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 10:00<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;In Dealership;
538732;9002;376870;308 T7;308 SKD MV 5D Acc 1.6 120ch AT / 1PT7A5FCAL32BKD0;Hatchback 5 Doors;9VM0-NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM011670;1PT7A5FCAL329Q;07/07/2011 10:02:15;SO (fixed);Продан дилеру;;;;RC171246;4PFX-NOIR;LE05 - LE05;WLRC - WLRC;NA01 - NA01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00367837;Продан дилеру;;;07/10/2011;3710-ООО "Леонар Авто";13/09/11 06:27<br /> - <i>MODIFIED BY PCR</i><br />13/09/11 06:27<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 10:00<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 10:00<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;In Dealership;
538718;9002;376856;308 T7;308 SKD MV SPORTIUM 1.6 AT (120 hp)/1PT7A5NCAL32JUD0;Hatchback 5 Doors;9VM0-NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM011734;1PT7A5NCAL329S;07/07/2011 10:02:14;SO (fixed);Продан дилеру;;;;RC172405;XWFJ-ROUGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00367836;Продан дилеру;;;07/10/2011;3710-ООО "Леонар Авто";19/09/11 11:56<br /> - <i>MODIFIED BY PCR</i><br />19/09/11 11:56<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 10:00<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 10:00<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 14:56<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;In Dealership;
542625;9002;381235;3008 TB;3008 ACTIVE MT5 120hp/1PTBSYHCA532A0C0;CROSS OVER 5 PORTES;N9M6-BLANC NACRE;EP6C 1598 4 CE INDIR (  02);MANUAL 5-SPEED;VF30U5FS0BS268671;1PTBSYHCA5329Q;02/09/2011 10:02:11;Final Customer Order;Продан дилеру;;D737660;;RC177817;2YFX-NOIR;ZD10 - ZD10;ZV02 - ZV02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00368157;Продан дилеру;R3710RU_3702387749;;14/10/2011;3710-ООО "Леонар Авто";20/09/11 12:30<br /> - <i>YES</i><br />23/09/11 06:01<br /> - <i>MODIFIED BY PCR</i><br />23/09/11 06:01<br /> - <i>MODIFIED BY PCR</i><br />24/09/11 06:18<br /> - <i>MODIFIED BY PCR</i><br />24/09/11 06:18<br /> - <i>MODIFIED BY PCR</i><br />05/10/11 19:00<br /> - <i>MODIFIED BY PCR</i><br />05/10/11 19:00<br /> - <i>MODIFIED BY PCR</i><br />05/10/11 20:42<br /> - <i>MODIFIED BY PCR</i><br />05/10/11 20:42<br /> - <i>MODIFIED BY PCR</i><br />05/10/11 20:42<br /> - <i>MODIFIED BY PCR</i>;Final Customer Order;SO-FCO in production;2011;02;;;;In Dealership;
538736;9002;376874;308 T7;308 SKD MV 5D Acc 1.6 120ch AT / 1PT7A5FCAL32BKD0;Hatchback 5 Doors;VGM0-VAPOR GREY;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM013266;1PT7A5FCAL329Q;07/07/2011 06:54:37;SO (fixed);Заказ принят;;;;RC171490;4PFX-NOIR;NA01 - NA01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Произведен SKD;;;21/10/2011;3710-ООО "Леонар Авто";28/09/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 06:15<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
569577;9002;392083;308 T7;308 SKD MV 5D All 1.6 120ch AT/ 1PT7A5QCAL32BKD0;Hatchback 5 Doors;9VM0-NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM014647;1PT7A5QCAL329Q;14/09/2011 06:54:34;SO (fixed);Заказ принят;;;;RC180584;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Выход в Везуль;;;21/10/2011;3710-ООО "Леонар Авто";16/10/11 04:31<br /> - <i>MODIFIED BY PCR</i><br />16/10/11 04:31<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
559257;3710;384771;3008 TB;3008 ACTIVE AT6 / 1PTBSYHCUM32A0C0;CROSS OVER 5 PORTES;T4M0-METAL.VERNIS B KGN  BOURRASQUE;EP6CDT MD 112KW 1598 (  02);AUTOMATIC 6-SPEED;VF30U5FEABS291180;1PTBSYHCUM32A0;14/09/2011 06:54:31;SO (fixed);Заказ принят;;;;RC179184;Q1FX-NOIR;OK01 - OK01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Произведен;;;11/11/2011;3710-ООО "Леонар Авто";16/10/11 04:31<br /> - <i>MODIFIED BY PCR</i><br />16/10/11 04:31<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
540767;00436126;379267;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A080;FRG. EMP.LONG H2 16;WHP0-BLANC;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YCBMFC12096369;2PU95KHDG6099T;31/08/2011 06:54:27;SO (fixed);Заказ принят;;;;RC176371;RYFJ-ROUGE;JO01 - JO01;RK04 - RK04;FX01 - FX01;PE03 - PE03;PX05 - PX05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;В пути в Россию;;Bank Guarantee (BG);11/11/2011;3710-ООО "Леонар Авто";13/10/11 07:03<br /> - <i>MODIFIED BY PCR</i><br />13/10/11 07:03<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;01;;;;;
50002022;00443629;386105;Боксер;FgTI 330 L1H1(120hp) / 2PU91DHDG609A080;FRG. EMP.COURT H1 12;1XP0-ROUGE TIZIANO;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YABMFA12099149;2PU91DHDG6099R;28/09/2011 06:54:23;SO (fixed);Заказ принят;D737659;D737659;;RC181872;RYFJ-ROUGE;RK04 - RK04;FX01 - FX01;PE03 - PE03;PX05 - PX05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Произведен;;BPF Payment Mode;18/11/2011;3710-ООО "Леонар Авто";28/09/11 15:45<br /> - <i>YES</i><br />29/09/11 04:15<br /> - <i>MODIFIED BY PCR</i><br />29/09/11 04:15<br /> - <i>MODIFIED BY PCR</i><br />16/10/11 04:31<br /> - <i>MODIFIED BY PCR</i><br />16/10/11 04:31<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;01;;;;;
564832;00429292;387638;Боксер;FgTI 440 L4H2(120hp) / 2PU97MHDG609UL80;FRG. EMP.RALLON H2 2;WPP0-BLANC BANQUISE;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YEBMFC12073929;2PU97MHDG609R9;28/06/2011 19:09:52;Consignement Approved;Консигнация;;;;RC169809;TJFT-ANTHRACITE;RK04 - RK04;FX01 - FX01;NO02 - NO02;PE03 - PE03;PX05 - PX05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Отгрузка в ДЦ;;;21/10/2011;3710-ООО "Леонар Авто";11/10/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 08:00<br /> - <i>MODIFIED BY PCR</i>;Consignement Approved;SO (fixed);2011;01;;;;;
530783;00430785;366832;207 A7;207 3D RO ACTIVE 1.6 AT (120hp) / 1PA7A3NCAL32A080;Hatchback 3 Doors;WPP0-BLANC BANQUISE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;VF3WA5FS9BT084036;1PA7A3NCAL32A0;07/07/2011 19:09:51;SO (fixed);Продан дилеру;;;;RC173211;4DFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00369363;Продан дилеру;;Bank Guarantee (BG);21/10/2011;3710-ООО "Леонар Авто";01/10/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />01/10/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 06:14<br /> - <i>MODIFIED BY PCR</i><br />04/10/11 06:14<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 18:54<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 18:54<br /> - <i>MODIFIED BY PCR</i><br />14/10/11 15:15<br /> - <i>MODIFIED BY PCR</i><br />14/10/11 15:15<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;In Dealership;
542632;9002;381244;3008 TB;3008 ACTIVE MT6 150 hp/1PTBSYHCC632ORC0;CROSS OVER 5 PORTES;ZRM0-GRIS ALUMINIUM;EP6CDT 1598 4 CYL E (  02);MANUAL 6-SPEED;VF30U5FN8BS271668;1PTBSYHCC6329Q;02/09/2011 19:09:50;Final Customer Order;Продан дилеру;;D737659;;RC177863;Q1FX-NOIR;UF02 - UF02;LE05 - LE05;OK01 - OK01;RG03 - RG03;UB01 - RADAR ARRIERE;WLGS - WLGS;ZD10 - ZD10;ZV02 - ZV02;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00369591;Продан дилеру;3710_3710091265;;21/10/2011;3710-ООО "Леонар Авто";11/09/11 16:40<br /> - <i>MODIFIED BY PCR</i><br />11/09/11 16:40<br /> - <i>MODIFIED BY PCR</i><br />11/09/11 16:40<br /> - <i>MODIFIED BY PCR</i><br />11/09/11 19:59<br /> - <i>MODIFIED BY PCR</i><br />11/09/11 19:59<br /> - <i>MODIFIED BY PCR</i><br />11/09/11 19:59<br /> - <i>MODIFIED BY PCR</i><br />15/09/11 04:22<br /> - <i>MODIFIED BY PCR</i><br />16/09/11 11:02<br /> - <i>YES</i><br />29/09/11 06:16<br /> - <i>MODIFIED BY PCR</i><br />29/09/11 06:16<br /> - <i>MODIFIED BY PCR</i><br />29/09/11 06:16<br /> - <i>MODIFIED BY PCR</i><br />29/09/11 06:16<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />14/10/11 15:16<br /> - <i>MODIFIED BY PCR</i><br />14/10/11 15:16<br /> - <i>MODIFIED BY PCR</i><br />14/10/11 15:16<br /> - <i>MODIFIED BY PCR</i>;Final Customer Order;SO-FCO in production;2011;02;;;;In Dealership;
533538;00435539;370371;107 B0;107 5D ACTIVE 1.0 2-TRONIC/1PB0A5KRBP04A060;Hatchback 5 Doors;LXM0-BLEU ELECTRA;998 MOTEUR TOYOTA ES (  02);2-TRONIC 5-SPEED;VF3PNCFB088614944;1PB0A5KRBP04A0;22/07/2011 19:09:50;SO (fixed);Продан дилеру;;;;RC175823;3AFF-BRUN;RE01 - RE01;VD10 - VD10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00368941;Продан дилеру;;Bank Guarantee (BG);14/10/2011;3710-ООО "Леонар Авто";28/09/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 06:15<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 06:16<br /> - <i>MODIFIED BY PCR</i><br />28/09/11 06:16<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 08:00<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 15:04<br /> - <i>MODIFIED BY PCR</i><br />11/10/11 15:04<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;In Dealership;
534934;3710;372290;Боксер;FgTI 440 L4H2(120hp) / 2PU97MHDG609UL80;FRG. EMP.RALLON H2 2;H8M0-BEIGE GOLDEN WH;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YEBMFC12091498;2PU97MHDG609R9;01/08/2011 06:56:24;SO (fixed);Заказ принят;;;;RC175907;RYFJ-ROUGE;RK04 - RK04;FX01 - FX01;PE03 - PE03;PX05 - PX05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;В пути в Россию;;;11/11/2011;3710-ООО "Леонар Авто";06/10/11 06:14<br /> - <i>MODIFIED BY PCR</i><br />06/10/11 06:14<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;01;;;;;
569593;9002;392091;308 T7;308 SKD MV 5D All 1.6 120ch AT/ 1PT7A5QCAL32BKD0;Hatchback 5 Doors;WPP0-BLANC BANQUISE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM014578;1PT7A5QCAL329Q;14/09/2011 06:56:12;SO (fixed);Заказ принят;;;;RC180592;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Выход в Везуль;;;21/10/2011;3710-ООО "Леонар Авто";15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
569571;9002;392080;308 T7;308 SKD MV 5D All 1.6 120ch AT/ 1PT7A5QCAL32BKD0;Hatchback 5 Doors;9HM0-GRIS THORIUM;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM014564;1PT7A5QCAL329Q;14/09/2011 06:56:11;SO (fixed);Заказ принят;;;;RC180581;TTFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Выход в Везуль;;;21/10/2011;3710-ООО "Леонар Авто";15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
569553;9002;392071;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;WPP0-BLANC BANQUISE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM014532;1PT7A5NCAL329Q;14/09/2011 06:56:10;SO (fixed);Заказ принят;;;;RC179827;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Выход в Везуль;;;21/10/2011;3710-ООО "Леонар Авто";15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
569557;9002;392073;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;WPP0-BLANC BANQUISE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM014534;1PT7A5NCAL329Q;14/09/2011 06:56:10;SO (fixed);Заказ принят;;;;RC179829;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Выход в Везуль;;;21/10/2011;3710-ООО "Леонар Авто";15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
569565;9002;392077;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;WPP0-BLANC BANQUISE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM014528;1PT7A5NCAL329Q;14/09/2011 06:56:10;SO (fixed);Заказ принят;;;;RC179833;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Выход в Везуль;;;21/10/2011;3710-ООО "Леонар Авто";15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
569567;9002;392078;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;WPP0-BLANC BANQUISE;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM014529;1PT7A5NCAL329Q;14/09/2011 06:56:10;SO (fixed);Заказ принят;;;;RC179834;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Выход в Везуль;;;21/10/2011;3710-ООО "Леонар Авто";15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
569541;9002;392065;308 T7;308 SKD MV 5D Act 1.6 120ch AT / 1PT7A5NCAL32BKD0;Hatchback 5 Doors;9VM0-NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  02);AUTOMATIC 4-SPEED;Z8T4C5FS9BM014516;1PT7A5NCAL329Q;14/09/2011 06:56:09;SO (fixed);Заказ принят;;;;RC179821;XWFX-NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Выход в Везуль;;;21/10/2011;3710-ООО "Леонар Авто";15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i><br />15/10/11 06:32<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2011;02;;;;;
