Номер<br>ABCnet;Номер Заказа<br>(Дилер);Номер формы выхода;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Номер VIN;Версия;Дата заказа;Тип Тек. Рез.;Статус;Пользователь, создавший заказ;Пользователь, зарезервивавший заказ;Дата резервации до;Номер SIV;Отделка Салона;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Дата Продажи;Сумма Счета;Номер Заказа Финального Клиента;Дилер;Номер Счета/Накл.;Местонахождение;Идентификационный Номер Покупателя;Тип Оплаты;Ожид.дата доставки;Место доставки;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Год выпуска;Топливо;Комментарии;Subsidiary identification;Last Central DM Action;Dealer estimated delivery date;
50026154;00471078;426110;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A080;FRG. EMP.LONG H2 16;WPP0-Белый;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YCBMFC12218518;2PU95KHDG6099T;27/03/2012 15:14:20;SO (fixed);Заказ принят;D737659;D737659;;RC206349;RYFJ-ROUGE;FX01 - Защита картера двигателя;PE03 - Передние и задние брызговики;PX05 - Перегородка цельнометаллическая сплошная;RE01 - Кондиционер;RK04 - Электропривод и подогрев зеркал заднего вида;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Таможня;;BPF Payment Mode;15/06/2012;3710-ООО "Леонар Авто";27/03/12 15:15<br /> - <i>YES</i><br />27/03/12 15:57<br /> - <i>MODIFIED BY PCR</i><br />27/03/12 15:57<br /> - <i>MODIFIED BY PCR</i><br />27/03/12 16:55<br /> - <i>MODIFIED BY PCR</i><br />27/03/12 16:55<br /> - <i>MODIFIED BY PCR</i><br />05/05/12 04:59<br /> - <i>MODIFIED BY PCR</i><br />05/05/12 04:59<br /> - <i>MODIFIED BY PCR</i><br />07/06/12 07:08<br /> - <i>MODIFIED BY PCR</i><br />07/06/12 07:08<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;01;;;;;
50022414;00466891;420233;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A080;FRG. EMP.LONG H2 16;WPP0-Белый;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YCBMFC12198823;2PU95KHDG6099T;28/02/2012 09:55:19;SO (fixed);Заказ принят;D737659;D737659;;RC202871;RYFJ-ROUGE;FX01 - Защита картера двигателя;PE03 - Передние и задние брызговики;PX05 - Перегородка цельнометаллическая сплошная;RK04 - Электропривод и подогрев зеркал заднего вида;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Таможня;;BPF Payment Mode;18/05/2012;3710-ООО "Леонар Авто";28/02/12 10:00<br /> - <i>YES</i><br />28/02/12 10:12<br /> - <i>MODIFIED BY PCR</i><br />28/02/12 10:12<br /> - <i>MODIFIED BY PCR</i><br />28/02/12 10:14<br /> - <i>MODIFIED BY PCR</i><br />28/02/12 10:14<br /> - <i>MODIFIED BY PCR</i><br />04/04/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />04/04/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />17/05/12 07:12<br /> - <i>MODIFIED BY PCR</i><br />17/05/12 07:12<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;01;;;;;
50013309;00457166;406267;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A080;FRG. EMP.LONG H2 16;WPP0-Белый;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YCBMFC12167551;2PU95KHDG6099T;21/12/2011 13:27:51;SO (fixed);Продан дилеру;D737653;D737653;;RC193637;RYFJ-ROUGE;FX01 - Защита картера двигателя;LL02 - Двери открывающиеся на 270 градусов;PE03 - Передние и задние брызговики;PX05 - Перегородка цельнометаллическая сплошная;RK04 - Электропривод и подогрев зеркал заднего вида;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00408663;Продан дилеру;;BPF Payment Mode;16/03/2012;3710-ООО "Леонар Авто";21/12/11 13:30<br /> - <i>YES</i><br />22/12/11 04:43<br /> - <i>MODIFIED BY PCR</i><br />22/12/11 04:43<br /> - <i>MODIFIED BY PCR</i><br />16/02/12 06:00<br /> - <i>MODIFIED BY PCR</i><br />16/02/12 06:00<br /> - <i>MODIFIED BY PCR</i><br />17/05/12 07:12<br /> - <i>MODIFIED BY PCR</i><br />17/05/12 07:12<br /> - <i>MODIFIED BY PCR</i><br />06/06/12 12:00<br /> - <i>MODIFIED BY PCR</i><br />06/06/12 12:00<br /> - <i>MODIFIED BY PCR</i><br />06/06/12 14:08<br /> - <i>MODIFIED BY PCR</i><br />06/06/12 14:08<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;01;;;;In Dealership;
50028841;00473764;429358;3008 TB;3008 ACCESS MT5 120hp / 1PTBSYDCA532A0D0;CROSS OVER 5 PORTES;WPP0-Белый;EP6C 1598 4 CE INDIR (  02);MANUAL 5-SPEED;VF30U5FS0CS132997;1PTBSYDCA5329R;05/04/2012 10:41:47;SO (fixed);Продан дилеру;D737659;D737659;;RC208740;9QFX-Черная ткань;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00408698;Продан дилеру;;BPF Payment Mode;15/06/2012;3710-ООО "Леонар Авто";05/04/12 10:45<br /> - <i>YES</i><br />05/04/12 16:44<br /> - <i>MODIFIED BY PCR</i><br />05/04/12 16:44<br /> - <i>MODIFIED BY PCR</i><br />05/04/12 17:07<br /> - <i>MODIFIED BY PCR</i><br />05/04/12 17:07<br /> - <i>MODIFIED BY PCR</i><br />23/05/12 04:57<br /> - <i>MODIFIED BY PCR</i><br />23/05/12 04:57<br /> - <i>MODIFIED BY PCR</i><br />24/05/12 07:10<br /> - <i>MODIFIED BY PCR</i><br />24/05/12 07:10<br /> - <i>MODIFIED BY PCR</i><br />06/06/12 12:00<br /> - <i>MODIFIED BY PCR</i><br />06/06/12 12:00<br /> - <i>MODIFIED BY PCR</i><br />06/06/12 14:08<br /> - <i>MODIFIED BY PCR</i><br />06/06/12 14:08<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;02;;;;In Dealership;
50022417;00466894;420243;Боксер;FgTl 335 L3H2(120hp) / 2PU95KHDG609A080;FRG. EMP.LONG H2 16;WPP0-Белый;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YCBMFC12200441;2PU95KHDG6099T;28/02/2012 10:00:25;SO (fixed);Продан дилеру;D737659;D737659;;RC202881;RYFJ-ROUGE;DX01 - ASR-противобуксовочная система;FX01 - Защита картера двигателя;LL02 - Двери открывающиеся на 270 градусов;PE03 - Передние и задние брызговики;PX05 - Перегородка цельнометаллическая сплошная;RK04 - Электропривод и подогрев зеркал заднего вида;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;F-00409758;Отгрузка в ДЦ;;BPF Payment Mode;25/05/2012;3710-ООО "Леонар Авто";28/02/12 10:15<br /> - <i>YES</i><br />28/02/12 11:07<br /> - <i>MODIFIED BY PCR</i><br />28/02/12 11:07<br /> - <i>MODIFIED BY PCR</i><br />29/02/12 11:10<br /> - <i>MODIFIED BY PCR</i><br />29/02/12 11:10<br /> - <i>MODIFIED BY PCR</i><br />06/04/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />06/04/12 06:01<br /> - <i>MODIFIED BY PCR</i><br />17/05/12 07:12<br /> - <i>MODIFIED BY PCR</i><br />17/05/12 07:12<br /> - <i>MODIFIED BY PCR</i><br />14/06/12 19:00<br /> - <i>MODIFIED BY PCR</i><br />14/06/12 19:00<br /> - <i>MODIFIED BY PCR</i><br />14/06/12 20:07<br /> - <i>MODIFIED BY PCR</i><br />14/06/12 20:07<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;01;;;;In Dealership;
50027317;00472303;427577;Партнер B9;Partner B9  FRG court 16E 90 hp / 2PB9J0CFJ532A020;FOURGON;X9P0-Красный;TU5JP4B   1587   ESS (  02);MANUAL 5-SPEED;VF37CNFRCCJ622931;2PB9J0CFJ5329T;03/04/2012 12:54:04;SO (fixed);Заказ принят;D737659;D737659;;RC207603;9WFZ-GRIS 4;GB23 - TAPIS COFFRE PVC;LK07 - LK07;PB04 - PB04;PX30 - TOL.DEM+GRIL+EXT+INS;RE01 - Кондиционер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Таможня;;BPF Payment Mode;22/06/2012;3710-ООО "Леонар Авто";03/04/12 13:00<br /> - <i>YES</i><br />04/04/12 11:53<br /> - <i>MODIFIED BY PCR</i><br />04/04/12 11:53<br /> - <i>MODIFIED BY PCR</i><br />05/04/12 09:56<br /> - <i>MODIFIED BY PCR</i><br />05/04/12 09:56<br /> - <i>MODIFIED BY PCR</i><br />16/05/12 04:57<br /> - <i>MODIFIED BY PCR</i><br />16/05/12 04:57<br /> - <i>MODIFIED BY PCR</i><br />30/05/12 07:09<br /> - <i>MODIFIED BY PCR</i><br />30/05/12 07:09<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;02;;;;;
50027308;00472294;427568;Партнер B9;Partner B9  FRG court 16E 90 hp / 2PB9J0CFJ532A020;FOURGON;WPP0-Белый;TU5JP4B   1587   ESS (  02);MANUAL 5-SPEED;VF37CNFRCCJ622929;2PB9J0CFJ5329T;03/04/2012 12:51:41;SO (fixed);Заказ принят;D737659;D737659;;RC207602;9WFZ-GRIS 4;EK01 - Фары дневного света;GB23 - TAPIS COFFRE PVC;LK07 - LK07;PC19 - PC19;PX30 - TOL.DEM+GRIL+EXT+INS;RE01 - Кондиционер;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Таможня;;BPF Payment Mode;22/06/2012;3710-ООО "Леонар Авто";03/04/12 13:00<br /> - <i>YES</i><br />04/04/12 11:53<br /> - <i>MODIFIED BY PCR</i><br />04/04/12 11:53<br /> - <i>MODIFIED BY PCR</i><br />05/04/12 09:56<br /> - <i>MODIFIED BY PCR</i><br />05/04/12 09:56<br /> - <i>MODIFIED BY PCR</i><br />15/05/12 04:58<br /> - <i>MODIFIED BY PCR</i><br />15/05/12 04:58<br /> - <i>MODIFIED BY PCR</i><br />30/05/12 07:09<br /> - <i>MODIFIED BY PCR</i><br />30/05/12 07:09<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;02;;;;;
666712;9003;414483;508 W2;508 ALLURE 1,6 Vti 150ch BVA / 1PW2A4PCLM32JGB0;Sedan 4 Doors;9VM0-Черный;EP6CDT M 1598 4 C E (  02);AUTOMATIC 6-SPEED;VF38D5FEACL012279;1PW2A4PCLM32JG;02/02/2012 14:21:06;Final Customer Order;Продан клиенту;;D798289;;RC191929;Q1FX-Черная кожа (Claudia Tramontane);AB08 - Сигнализация;RT05 - Четырехзонный климат-контроль;TC07 - Люк с электроприводом;UB06 - Передние датчики парковки;WLMW - Аудиосистема премиум класса Hi-Fi JBL;;;;;;;;;;;;;;;;;;;;;;;;;;13/06/2012;;;RU3710R;F-00394144;Продан клиенту;RU3710R_7505780707;;16/03/2012;3710-ООО "Леонар Авто";03/02/12 10:12<br /> - <i>MODIFIED BY PCR</i><br />27/02/12 14:00<br /> - <i>MODIFIED BY PCR</i><br />27/02/12 14:00<br /> - <i>MODIFIED BY PCR</i><br />05/03/12 14:21<br /> - <i>MODIFIED BY PCR</i><br />05/03/12 14:21<br /> - <i>MODIFIED BY PCR</i><br />05/03/12 14:21<br /> - <i>MODIFIED BY PCR</i><br />13/06/12 15:30<br /> - <i>YES</i><br />13/06/12 17:00<br /> - <i>YES</i>;Final Customer Order;SO (fixed);2012;02;;;;In Dealership;
772243;3710;439812;3008 TB;3008 ACCESS 1.6 HDI EGS 112 hp / 1PTBSYDBMS32A0D0;CROSS OVER 5 PORTES;WPP0-Белый;DV6C 1560 4 CYL D TB (  01);BTE MANU PIL 6 VIT;;1PTBSYDBMS32A0;13/06/2012 15:06:41;SO in production;Заказ принят;;;;RC215399;9QFX-Черная ткань;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;Производство;;;10/08/2012;3710-ООО "Леонар Авто";;SO in production;;*;01;;;;;
50026152;00471076;426108;Боксер;FgTl 330 L2H2(120hp) / 2PU93IHDG609A080;FRG. EMP.MOYEN H2 12;H8M0-Бежевый;2188 HDI P.22DTE+ (  01);MANUAL 6-SPEED;VF3YABMFB12221390;2PU93IHDG6099Z;27/03/2012 15:09:46;SO (fixed);Заказ принят;D737659;D737659;;RC206347;RYFJ-ROUGE;FX01 - Защита картера двигателя;PE03 - Передние и задние брызговики;PX05 - Перегородка цельнометаллическая сплошная;RK04 - Электропривод и подогрев зеркал заднего вида;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RU3710R;;В пути в Россию;;BPF Payment Mode;22/06/2012;3710-ООО "Леонар Авто";27/03/12 15:15<br /> - <i>YES</i><br />27/03/12 15:57<br /> - <i>MODIFIED BY PCR</i><br />27/03/12 15:57<br /> - <i>MODIFIED BY PCR</i><br />27/03/12 16:55<br /> - <i>MODIFIED BY PCR</i><br />27/03/12 16:55<br /> - <i>MODIFIED BY PCR</i><br />16/05/12 04:57<br /> - <i>MODIFIED BY PCR</i><br />16/05/12 04:57<br /> - <i>MODIFIED BY PCR</i><br />13/06/12 04:57<br /> - <i>MODIFIED BY PCR</i><br />13/06/12 04:57<br /> - <i>MODIFIED BY PCR</i>;SO (fixed);SO in production;2012;01;;;;;
